id_pedido,produto,categoria,quantidade,valor_unitario,forma_pagamento,regiao,cep_cliente,data_pedido
1215,Tênis de Corrida,ESPORTE,1,"R$ 259,90",Cartão de Débito,Nordeste,2100307,31/08/2024
1201,Livro - O Poder do Hábito, Livros,2,39.90,Cartão de Crédito,Norte,6666054,2024-03-12
1455,Jogo de Panelas,Casa e decoração ,2,189.90,Cartão de Crédito,Norte,3330474,26/03/24
1528,Bicicleta Ergométrica,esporte,2,899.90,Pix,Sudeste,4173115,16/11/24
1565,Luminária de Mesa,Casa e Decoração,2,89.90,Cartão de Crédito,Sul,1284491,23-08-2024
1268,Camiseta Básica, Moda,3,49.90,Pix,Sudeste,1359151,2024-03-31
1600,Smartwatch Fit, Eletrônicos ,2,349.90,Boleto,Nordeste,,04-08-2024
1447,Luminária de Mesa,casa e decoracao,2,89.90,Boleto,Nordeste,2111570,15/03/2024
1607,Tênis de Corrida,esporte,2,259.90,Pix,Centro-Oeste,8837894,17-12-2024
1299,Carregador Portátil,ELETRÔNICOS,3,79.90,Cartão de Crédito,Centro-Oeste,,12/06/24
,,,,,,,,
1008,Carregador Portátil,ELETRÔNICOS,1,79.90,Boleto,Norte,9085093,22/04/2024
1409,Jogo de Panelas,CASA E DECORAÇÃO,1,,Pix,Sudeste,8460632,05/02/24
1188,Smartwatch Fit,Eletronicos,3,"R$ 349,90",Cartão de Débito,Norte,1647894,2024-04-07
1572,Mochila Executiva,MODA,1,"R$ 159,90",Cartão de Crédito,Nordeste,3025477,2024-09-20
1164,Jogo de Panelas,Casa e decoração ,3,189.90,Cartão de Débito,Nordeste,8861357,16-04-2024
1428,Tênis de Corrida,ESPORTE,2,"R$ 259,90",Cartão de Débito,Centro-Oeste,7505000,10-05-2024
1092,Livro - Hábitos Atômicos,Livros,2,"R$ 44,90",Cartão de Crédito,Centro-Oeste,2501678,21/05/2024
1479,Smartwatch Fit,Eletrônicos,2,349.90,Boleto,Norte,6739562,2024-10-13
1030,Tênis de Corrida,Esporte,1,259.90,Cartão de Débito,Norte,3532947,2024-10-13
1458,Camiseta Básica, Moda,2,49.90,Boleto,Sul,3930787,03/12/24
1478,Livro - O Poder do Hábito,livros,1,"R$ 39,90",Pix,Norte,6228791,12/04/2024
1055,Livro - Hábitos Atômicos,Livros,2,"R$ 44,90",Boleto,Nordeste,5232348,15-06-2024
1111,Smartwatch Fit,ELETRÔNICOS,1,"R$ 349,90",Boleto,Sudeste,9363648,2024-06-22
1464,Smartwatch Fit,Eletronicos,3,349.90,Cartão de Crédito,Centro-Oeste,5705437,18-11-2024
1232,Fone de Ouvido Bluetooth,Eletrônicos,1,129.90,Cartão de Débito,Sudeste,3035951,16/11/24
1158,Camiseta Básica, Moda,2,49.90,Boleto,Nordeste,6218166,22-09-2024
1511,Fone de Ouvido Bluetooth, Eletrônicos ,1,129.90,Cartão de Débito,Sul,7432182,01/04/2024
1521,Smartwatch Fit,Eletrônicos,3,349.90,Cartão de Crédito,Centro-Oeste,1750248,2024-03-13
1089,Smartwatch Fit,ELETRÔNICOS,3,349.90,Cartão de Crédito,Sul,1742968,03/06/24
1118,Livro - O Poder do Hábito,livros,1,39.90,Boleto,Nordeste,6082990,11/02/24
1052,Livro - O Poder do Hábito,Livros,2,"R$ 39,90",Cartão de Débito,Nordeste,2129518,22/01/2024
1317,Mochila Executiva,Moda,1,"R$ 159,90",Boleto,Sul,6384366,24-01-2024
1422,Smartwatch Fit,Eletrônicos,1,349.90,Boleto,Sudeste,8952196,01/04/24
1082,Cafeteira Elétrica,Casa e decoração ,2,219.90,Cartão de Débito,Nordeste,8484865,02/06/24
1240,Camiseta Básica,MODA,2,"R$ 49,90",Boleto,Centro-Oeste,2195017,03/08/2024
1622,Tênis de Corrida,Esporte,2,"R$ 259,90",Cartão de Crédito,Sul,9161693,19-10-2024
1614,Livro - Hábitos Atômicos,LIVROS,3,44.90,Cartão de Débito,Norte,5198074,18/04/2024
