id_pedido,produto,categoria,quantidade,valor_unitario,forma_pagamento,regiao,cep_cliente,data_pedido,valor_total
1380,Livro - Hábitos Atômicos,Livros,3,44.9,Cartão de Crédito,Nordeste,07544361,2024-01-01,134.7
1330,Livro - O Poder do Hábito,Livros,2,39.9,Cartão de Crédito,Norte,08091858,2024-01-03,79.8
1251,Tênis de Corrida,Esporte,1,259.9,Cartão de Crédito,Sul,09872354,2024-01-04,259.9
1108,Jogo de Panelas,Casa e Decoração,1,189.9,Cartão de Débito,Sul,03116389,2024-01-04,189.9
1104,Jogo de Panelas,Casa e Decoração,1,189.9,Boleto,Norte,07566071,2024-01-04,189.9
1252,Tênis de Corrida,Esporte,1,259.9,Cartão de Crédito,Sul,,2024-01-04,259.9
1250,Smartwatch Fit,Eletrônicos,2,349.9,Pix,Norte,05979757,2024-01-05,699.8
1235,Tênis de Corrida,Esporte,1,259.9,Cartão de Crédito,Centro-Oeste,03165489,2024-01-05,259.9
1379,Livro - O Poder do Hábito,Livros,2,39.9,Pix,Sul,01550802,2024-01-06,79.8
1405,Jogo de Panelas,Casa e Decoração,1,189.9,Boleto,Nordeste,05698480,2024-01-06,189.9
1438,Carregador Portátil,Eletrônicos,1,79.9,Cartão de Crédito,Nordeste,08373482,2024-01-08,79.9
1525,Carregador Portátil,Eletrônicos,1,79.9,Cartão de Crédito,Sudeste,01118183,2024-01-09,79.9
1200,Fone de Ouvido Bluetooth,Eletrônicos,1,129.9,Boleto,Centro-Oeste,02260306,2024-01-09,129.9
1587,Mochila Executiva,Moda,1,159.9,Cartão de Crédito,Nordeste,07188584,2024-01-11,159.9
1550,Camiseta Básica,Moda,1,49.9,Cartão de Débito,Sul,08504950,2024-01-13,49.9
1214,Livro - O Poder do Hábito,Livros,1,39.9,Pix,Centro-Oeste,02406118,2024-01-13,39.9
1126,Tênis de Corrida,Esporte,1,259.9,Cartão de Débito,Norte,07126241,2024-01-14,259.9
1051,Jogo de Panelas,Casa e Decoração,2,189.9,Cartão de Débito,Centro-Oeste,04249077,2024-01-14,379.8
1217,Livro - O Poder do Hábito,Livros,2,39.9,Boleto,Centro-Oeste,08037398,2024-01-15,79.8
1530,Bicicleta Ergométrica,Esporte,1,899.9,Cartão de Crédito,Sudeste,04855738,2024-01-15,899.9
1261,Luminária de Mesa,Casa e Decoração,2,89.9,Cartão de Débito,Sul,06799219,2024-01-16,179.8
